date,rank,song,artist,last_week,peak_rank,weeks_on_board
1993-02-20,86,So Alone,Men At Large,86.0,86,210
1961-05-22,96,I Fall To Pieces,Patsy Cline,96.0,96,210
2010-10-30,6,Back To December,Taylor Swift,6.0,6,210
2012-10-13,7,Begin Again,Taylor Swift,7.0,7,210
1991-07-20,87,Everybody Plays The Fool,Aaron Neville,87.0,87,210
1990-11-03,64,Sensitivity,Ralph Tresvant,64.0,64,210
1999-04-24,97,Write This Down,George Strait,97.0,97,210
2001-01-20,79,One More Day,Diamond Rio,79.0,79,210
1991-12-07,72,Don't Let The Sun Go Down On Me,George Michael/Elton John,72.0,72,210
1992-06-13,41,Too Funky,George Michael,41.0,41,210
1997-08-30,46,Backyard Boogie,Mack 10,46.0,46,210
2014-10-18,24,Something In The Water,Carrie Underwood,24.0,24,210
2008-06-07,84,Should've Said No,Taylor Swift,84.0,84,210
2020-06-27,3,The Bigger Picture,Lil Baby,3.0,3,210
2008-08-23,98,Just A Dream,Carrie Underwood,98.0,98,210
2008-04-19,86,Last Name,Carrie Underwood,86.0,86,210
2013-05-18,90,See You Again,Carrie Underwood,90.0,90,210
2007-09-01,98,So Small,Carrie Underwood,98.0,98,210
2010-11-13,17,Sparks Fly,Taylor Swift,17.0,17,210
2000-08-26,74,Kiss This,Aaron Tippin,74.0,74,210
2009-11-07,92,Temporary Home,Carrie Underwood,97.0,92,210
2012-12-29,90,Two Black Cadillacs,Carrie Underwood,90.0,90,210
2009-11-14,87,Undo It,Carrie Underwood,95.0,87,210
2007-02-17,94,Wasted,Carrie Underwood,94.0,94,210
2001-10-20,66,Where The Stars And Stripes And The Eagle Fly,Aaron Tippin,66.0,66,210
2014-11-08,67,Try Me,DeJ Loaf,67.0,67,210
1999-09-11,88,Candy,Mandy Moore,88.0,88,210
1977-05-28,68,I'm In You,Peter Frampton,68.0,68,210
1998-10-10,76,For You I Will,Aaron Tippin,76.0,76,210
2009-10-03,96,Cowboy Casanova,Carrie Underwood,96.0,96,210
1992-07-11,98,Restless Heart,Peter Cetera,98.0,98,210
1987-06-06,51,"I Want Your Sex (From ""Beverly Hills Cop II"")",George Michael,51.0,51,210
1973-10-06,80,Top Of The World,Carpenters,80.0,80,210
2010-11-06,11,Mean,Taylor Swift,90.0,11,210
2008-01-19,84,All-American Girl,Carrie Underwood,84.0,84,210
1999-10-30,69,Guerrilla Radio,Rage Against The Machine,69.0,69,210
2005-09-03,94,Shake,Ying Yang Twins Featuring Pitbull,94.0,94,210
1981-10-17,56,Why Do Fools Fall In Love,Diana Ross,56.0,56,210
1996-08-03,78,Po Pimp,Do Or Die (Featuring Twista),78.0,78,210
2011-11-26,13,Ours,Taylor Swift,13.0,13,210
2020-01-25,16,Sum 2 Prove,Lil Baby,16.0,16,210
1992-08-08,78,Where Does That Leave Love,George LaMond,78.0,78,210
2008-03-01,91,Picture To Burn,Taylor Swift,91.0,91,210
2012-03-10,24,Good Girl,Carrie Underwood,24.0,24,210
2017-07-01,89,Escapate Conmigo,Wisin Featuring Ozuna,89.0,89,210
2012-11-17,95,Don't Judge Me,Chris Brown,95.0,95,210
2001-07-28,73,Bad Day,Fuel,73.0,73,210
1979-10-20,79,We Don't Talk Anymore,Cliff Richard,79.0,79,210
1999-04-24,98,My Own Worst Enemy,Lit,98.0,98,210
2008-05-10,87,Mercy,Duffy,87.0,87,210
2016-09-10,94,Too Much Sauce,DJ ESCO Featuring Future & Lil Uzi Vert,94.0,94,210
1989-05-20,94,So Alive,Love And Rockets,94.0,94,210
2009-12-26,67,I Am,Mary J. Blige,67.0,67,210
1994-01-15,87,Stay,Eternal,87.0,87,210
1997-09-27,29,Everything,Mary J. Blige,29.0,29,210
2005-08-06,88,Your Body,Pretty Ricky,88.0,88,210
1991-09-28,91,A Day In My Life (Without You),Lisette Melendez,91.0,91,210
2000-08-19,67,Bag Lady,Erykah Badu,67.0,67,210
2001-08-25,78,Smooth Criminal,Alien Ant Farm,78.0,78,210
2004-07-24,69,My Place,Nelly Featuring Jaheim,69.0,69,210
1994-11-05,82,Be Happy,Mary J. Blige,82.0,82,210
1999-10-16,75,When I Said I Do,Clint Black,75.0,75,210
2000-02-19,87,Been There,Clint Black With Steve Wariner,87.0,87,210
2019-11-16,88,Ridin' Roads,Dustin Lynch,88.0,88,210
2012-06-02,98,Angel Eyes,Love And Theft,98.0,98,210
1991-11-02,92,Change,Lisa Stansfield,92.0,92,210
2002-05-25,98,Grindin',Clipse,98.0,98,210
1997-12-13,30,We're Not Making Love No More,Dru Hill,30.0,30,210
1996-01-27,59,"Not Gon' Cry (From ""Waiting To Exhale"")",Mary J. Blige,59.0,59,210
2001-12-15,74,No More Drama,Mary J. Blige,74.0,74,210
2003-09-06,81,Clubbin,Marques Houston Featuring Joe Budden & Pied Piper,81.0,81,210
2001-06-09,74,Here's To The Night,Eve 6,74.0,74,210
2003-11-22,57,Invisible,Clay Aiken,57.0,57,210
2018-10-06,74,This Feeling,The Chainsmokers Featuring Kelsea Ballerini,98.0,74,210
2000-03-25,97,Unconditional,Clay Davidson,97.0,97,210
2016-06-25,18,For Free,DJ Khaled Featuring Drake,18.0,18,210
1995-09-23,47,Do You Sleep?,Lisa Loeb & Nine Stories,47.0,47,210
2012-04-21,63,Take It To The Head,"DJ Khaled Featuring Chris Brown, Rick Ross, Nicki Minaj & Lil Wayne",63.0,63,210
2000-04-15,73,The Chain Of Love,Clay Walker,73.0,73,210
1998-10-10,6,How Deep Is Your Love,Dru Hill Featuring Redman,6.0,6,210
2014-09-20,98,Hold You Down,"DJ Khaled Featuring Chris Brown, August Alsina, Future & Jeremih",98.0,98,210
1994-12-17,91,She Don't Use Jelly,The Flaming Lips,91.0,91,210
2012-03-17,92,UP!,LoveRance Featuring IamSu & Skipper or 50 Cent,92.0,92,210
1984-01-28,53,Here Comes The Rain Again,Eurythmics,53.0,53,210
2016-11-19,54,Better Man,Little Big Town,54.0,54,210
2006-09-30,62,Maneater,Nelly Furtado,62.0,62,210
1997-08-09,10,Never Make A Promise,Dru Hill,10.0,10,210
2021-02-20,84,No More Parties,Coi Leray Featuring Lil Durk,84.0,84,210
2014-01-25,95,Give Me Back My Hometown,Eric Church,95.0,95,210
2011-10-08,96,Drink In My Hand,Eric Church,96.0,96,210
1993-07-10,47,Insane In The Brain,Cypress Hill,47.0,47,210
2019-01-12,32,Baby Shark,Pinkfong,32.0,32,210
2012-09-08,95,Creepin',Eric Church,95.0,95,210
1977-10-15,81,Slip Slidin' Away,Paul Simon,81.0,81,210
1992-07-25,82,Crossover,EPMD,82.0,82,210
1988-05-21,78,Make Me Lose Control,Eric Carmen,78.0,78,210
2003-11-15,63,You Don't Know My Name,Alicia Keys,63.0,63,210
1999-07-03,74,What Ya Want,EVE & Nokio,74.0,74,210
2010-04-24,88,Un-Thinkable (I'm Ready),Alicia Keys,88.0,88,210
2001-06-02,98,What I Really Meant To Say,Cyndi Thomson,98.0,98,210
2012-04-14,79,Back In Time,Pitbull,83.0,79,210
1986-08-30,63,True Colors,Cyndi Lauper,63.0,63,210
2009-12-05,58,Try Sleeping With A Broken Heart,Alicia Keys,58.0,58,210
1984-04-14,53,Time After Time,Cyndi Lauper,53.0,53,210
2016-04-23,100,Record Year,Eric Church,100.0,100,210
2010-10-02,97,Smoke A Little Smoke,Eric Church,97.0,97,210
2005-10-29,93,Boondocks,Little Big Town,93.0,93,210
1976-08-28,81,The Best Disco In Town,The Ritchie Family,81.0,81,210
2014-06-21,87,Day Drinking,Little Big Town,100.0,87,210
2001-06-02,60,Music,Erick Sermon Featuring Marvin Gaye,60.0,60,210
2017-06-24,85,Small Town Boy,Dustin Lynch,85.0,85,210
2014-05-03,94,"Where It's At (Yep, Yep)",Dustin Lynch,86.0,94,210
2010-06-19,94,Little White Church,Little Big Town,94.0,94,210
2013-11-02,91,Friday Night,Eric Paslay,91.0,91,210
2012-06-23,51,Pontoon,Little Big Town,51.0,51,210
1975-04-05,84,Magic,Pilot,84.0,84,210
1995-07-01,77,Brown Sugar,D'Angelo,77.0,77,210
2000-04-29,95,Flowers On The Wall,Eric Heatherly,95.0,95,210
2012-11-24,97,Tornado,Little Big Town,97.0,97,210
2005-07-30,83,Just The Girl,The Click Five,83.0,83,210
1992-10-03,79,Layla,Eric Clapton,79.0,79,210
2017-05-13,93,My Girl,Dylan Scott,93.0,93,210
1996-03-02,67,Lady,D'Angelo,67.0,67,210
2014-11-08,90,Talladega,Eric Church,90.0,90,210
2011-07-02,96,Take Over Control,Afrojack Featuring Eva Simons,96.0,96,210
2021-05-15,20,Every Chance I Get,DJ Khaled Featuring Lil Baby & Lil Durk,20.0,20,210
1994-10-22,79,Breakdown,Fu-Schnickens,79.0,79,210
2009-07-18,91,God In Me,"Mary Mary Featuring Kierra ""KiKi"" Sheard",91.0,91,210
2010-06-19,15,Miss Me,Drake Featuring Lil Wayne,15.0,15,210
2007-12-01,94,Stealing Cinderella,Chuck Wicks,94.0,94,210
2006-08-05,95,I Call It Love,Lionel Richie,95.0,95,210
1996-08-31,3,Hit Me Off,New Edition,3.0,3,210
2001-05-26,46,There You'll Be,Faith Hill,46.0,46,210
2013-05-11,35,Body Party,Ciara,35.0,35,210
2005-06-11,85,Mississippi Girl,Faith Hill,85.0,85,210
